ID	請問你是否支持烏克蘭去納粹化？	請問你是否支持俄羅斯侵略烏克蘭？ 	2022/3/3 全台灣大停電，你認為原因為何？	請問你最關注以下哪個議題？	請問你認為，烏國／俄國哪邊會贏得戰爭？贏家會獲得什麼？	請問你認為本國應如何改善硬體、軟體、或政策，使電力供應穩定？	請問你需要回家掃墓嗎？若需要，會掃哪些人的墓？如何進行？	請問你是否支持本國婚姻平權政策？能否簡述理由？	請問你疫苗完成注射幾劑？各選了哪些廠牌？	近來俄烏之戰的發展，最令你印象深刻的，是哪則新聞？ 	請問你晚上是否曾接到拜票來電（錄音）？你通常如何回應？	請問你認為謠言的組成為何？如何查證較有效？	請問你支持本國籍人士滿 18 歲即擁投票權嗎？	請問你有屯快篩試劑嗎？	你認同打疫苗、弊大於利的看法嗎？？	請問，你支持蔣家後代從政嗎？為什麼？	請問你認同何美鄕研究員的說法嗎（台灣去年超額死亡率為負）？為什麼？
P1	5. 非常反對	5.非常反對	4.確實是跳電疏失，但輿論風向不該帶往“沒有缺電”，應該起初就好好解釋為何停電，停電跟跳電確實是兩回事。	 1. 烏俄之戰，因為影響總體經濟及財務金融層面太多，然後股票前陣子因為打仗輸很慘。	我認為兩邊都有一定程度上的損失，但以國際局勢的角度來看現在俄羅斯是完全壞人的角色，雖然掌握歐洲非常大一部份的能源主控權，但仍被經濟制裁的很慘，若以戰爭的場景來獲取勝利可能只會獲得更大的能源主控權並與北約國家打持久戰，卻仍損失了許多經貿機會，若烏克蘭取勝的話，或許能夠使北約更加強大並且獲得更多的經貿機會，脫離俄羅斯的許多政治壓力掌控，但仍有較大的機會失去俄烏邊境的兩座城市。	給工程師高一點的薪水，做好一點的系統，不要再讓唐鳳這種天才外包ＰＭ成為主流掌握大部分國家系統的設置，有些寫得很爛，不Intutitive，那不如直接找外面公司不用再透過一個人分錢。電力的話有些在做電網ＩＯＴ的公司其實都蠻有想法的，可以盡量聘請顧問，不要大部分給台電做。	還真的不需要，因為去年跟今年疫情靈骨塔在連假都沒有開放，家人已經提前去掃墓	支持，因爲選擇婚配對象應是每人與生俱來的全力，我們不該用性別認同的理由或框架綁架他人的權利，但我不贊同本國立專法的角度，因為立專法的問題層出不窮，之後還需花費大量的時間進行修法和個案調整，早在我們你訂專法之前，德國的學者就以德國立專法的真實現況來建議我們不要立專法，直接立法，但本國仍走了繞遠路的路，讓之後的行政程序更麻煩，但也剛好讓公務冗員有工作。	兩劑， 皆為AZ	俄羅斯士兵強暴烏克蘭婦女，先姦後殺，令人髪指	否	謠言的組成我認為分為目的性以及娛樂性，現在因為逼近選舉，大多的謠言都帶有目的性，以及台灣的選舉技術真的太厲害，所以各種謠言層出不窮。應該要從基本做起，訓練人民提高查證能力的素養，以及培養記者符合新聞倫理，並多方查證。	我不支持，因為不知道為什麼現在2000年後出生的小孩好像跟他講什麼都會相信，沒什麼自主判斷能力，千禧世代真的可怕，先不要放出來亂。	沒有，我不是恐慌仔	否，不打大家都會完蛋	如果是自身能力很好或者是透過自己的努力，那可以，如果只是血統buff跟黨機器的運作這樣不行，畢竟蔣先總統在台灣各種屠殺殺紅眼搜刮民脂民膏還奢望大家原諒蔣家，中正紀念堂就是蔣家遺毒。	我不認同，因為我覺得應該要針對COVID-19這個事件本身來算這個事件的死亡率，拿過去的平均來算的話我覺得並不具什麼實質意義，在前兩年，台灣確診的人相對低，那已確診的人數來算死亡率，死亡率一定是相對高的，這樣拿過去的平均來算，得出一個在這個事件中台灣有附超額死亡的概念，並沒有什麽好高興的，只是在掩飾中央回答不出來的超前部署到底部署了什麼跟接下來怎麼辦的問題，認知作戰塔綠斑老伎倆。
P2	1	2	2	6. 歐洲核子研究中心的大型量子對撞機計劃重新啟動	烏克蘭，贏得美國的後續支持和世界輿論	通過向日本引進技術	不掃	支持，現代婚姻關係更實用於法律意義而非社會倫理	兩劑，大興	澤連斯基的摳圖背景	no , usually hang up directly	無法查證，所有的真實都是主觀需求而非客觀存在	否，他們還不是納稅人，也沒有經濟壓力，不承擔社會責任，可以極左而不承擔後果		打疫苗利大於弊	不反對，不了解蔣家後，對他不反對也不支持。	反對，身邊有很多人都留下了不可逆轉的嚴重新冠後遺症
P3	3. 沒意見	5.非常反對	2.缺電	4.HBL	俄國 土地及資源	蓋核電廠	不需要	不支持也不反對，因為那是別人的自由，我不想干涉	三劑，前兩劑Az，第三劑莫德納	沒有特別印象深刻的，很少在關注	沒有，沒在接電話	一群笨蛋加一個聰明人， 當那個聰明人	我覺得都可以，每個人對於政治有獨立思考的年齡都不同，所以抓一個大概沒問題	沒有	不認同，因為我現在就是三劑完確診，很不舒服，如果沒打三劑我覺得我會不舒服到死	我不表態，因為我根本沒在關注	認同，畢竟我確診康復，對她講的我認為很有道理
P4																	
P5	3.沒意見	4.有點反對	4.要有核電比較好	2.大S結婚	俄羅斯會贏,贏了可以在烏克蘭建立魁儡政權	把核四蓋回來	不掃墓	支持,婚姻平權我覺得是對人權的一種保障	2劑 bnt bnt	普丁被取消黑帶證書	我都不會理他	有人放出假消息 多打聽	支持	沒有屯	我認為疫苗利大於弊,但是我認為沒有打到三劑的必要	支持,我認為從不從政跟血統無關,純粹看趴們的意願	不認同,我認為沒確診還是最好的
P6	3 沒意見。我認為去納粹化只是俄羅斯侵略烏克蘭的一個理由，所以烏克蘭是否有在實行納粹主義是個假議題。	4 有點反對。首先，俄羅斯出兵烏克蘭本身是個戰爭行為，也可以說是反人類的行為，所以反對是理所當然(畢竟我不是俄羅斯人，俄羅斯打贏了對我沒有好處)。其次，俄羅斯出兵烏克蘭給了中國一個很好的機會觀察國際(尤其是美國)對於戰爭行為的反應，我認為無論其反應如何，都會給予中國對台實施侵略的策略發展出更完善的對應，以台灣的角度來說這並不是好的現象。	4.政策失誤。重要設施都會設好幾個保險來做停損，避免單一失誤造成重大危害，故此次的大型停電不可能是單一人所能造成，會如此大停電歸根結柢還是非核家園造成，否則為何大停電隔天需要啟動核三並且運轉率達9成以上?當然是因為真的需要這額外的電力。那為何需要額外的電力?當然是因為缺電。	3. 韓國總統大選。 聽說韓國歷任總統下台後很容易入獄，所以其實沒有與其說是關心總統大選，比較關心的是新上任的韓國總統是不是跟文在寅不同政黨。			會，掃阿嬤的，跟其他家人一起掃。	不支持也不反對。本身不是同志族群的一員，同志能否結婚於我無益亦無損，故同婚通過與否與我無關。	0 , 都沒打。	記得烏俄戰爭前期，有一則關於蛇島駐兵全員不肯投降因而殉國的英雄新聞，但後來又有新的新聞指出，前面那則為假新聞，其實蛇島官兵投降且被俘虜了。由於一開始我是對烏方說法堅信不移的，而後來的結果讓我深刻感受到，認知作戰是真實存在且非常容易對沒有警覺的人民生效的。		非人為的謠言其來源於無知，藉盲目擴散；人為的謠言其來源於利益，藉盲目與其他共同得益者擴散。而為了不受謠言影響，聽者在相信任何接收的訊息前需要查證，有效的查證應該詢問相關領域的專業人員，輔以來自權威性期刊的論文。	理解但不支持。確實刑法上18歲即視為成年，需要對自己的行為負責，有了相應的責任也應有相應的權利，然而按過往的法規民法上卻是規定20歲才視為成年並擁有投票權，的確有其不合理之處，所以可以了解降低投票權的年齡要求以對齊刑法對於成年之定義。然而此次修法推動的一方為民進黨，而眾所皆知台灣國民兩黨的選民結構中，民進黨是在年輕人中所獲得的認同更高，故由民進黨推動投票年齡之下修我認為並未做到利益上之迴避，故我雖能理解卻不支持。		不認同，對個人來說，每個人應該能評估自己身體的狀況與可接受的風險，來選擇接種與否，但以整個社會來說，完全拒絕疫苗就變成了讓人民被天擇，會讓疫情從天災變成人禍。		
P7	3	5	2	1. 烏俄之戰	俄羅斯，可以得到戰略地位，避免西方世界透過烏克蘭直接衝擊俄羅斯、擴張領土。	改善政策，增加穩定發電來源，例如核電。	不用	支持，性向是個人自由，根據憲法保障，本來就不應該限制，要完善同志族群的權利	AZ*2, Moderna*1	小鎮屠殺平民	有，很煩，投訴中選會	(1)基於事實與非事實之間，再加入一些自己想要渲染的消息。(2)透過當事人的文字稿或是查訪當事人	是，畢竟刑法18歲就算是成年，沒道理民法20歲才可以投票	沒有	有點認同，可能會引導出某些慢性病患或是未知疾病的併發症，進而導致死亡	他開心就好，參選是每個人的自由	他的數據上如果是這樣的話，那就是認同，畢竟還是要看數字說話
P8	3	5	3	1: 俄烏之戰	俄羅斯贏，烏克蘭放棄加入北約	重新檢驗輸配電基礎設施，並做好意外狀況發生時的應對方案	今年不會回去掃墓，之前有去的話都是掃父親那方祖先的墓。	支持，婚姻是所有人的基本權利，沒人有權力剝奪。	三劑，BNT-BNT-莫德納	有消息指出俄羅斯軍隊被告知必須在5/9俄國勝利日之前結束戰爭。	沒有，只接過民調電話，騙他我還未成年	我覺得謠言通常是將事實誇大或是斷章取義，且常常為了提高傳播率而下危言聳聽的結論或標題。因此查證方式可以將結論與具公信力的資料比較，或查看是否有異常的傳播量。	支持	沒囤，覺得自己還不需要，先給需要的人。	不認同，我認為雖然打疫苗有風險，但仍然利大於弊。	支持，我認為如今民主時代，任何人想參選參選從政，只要他用正當手段選上都沒問題。	認同，我認為在病毒輕症化的狀況下，共存是更好的方法，而要共存就勢必要一定程度的人染疫，因此只要超額死亡率不高，問題就不大。
P9	3	3	4 (勞工是小英心中最軟的一塊，透過停電強制執行一例一休、鼓勵大家節電)	1.烏俄之戰	僵持最後俄國撤兵、烏克蘭成為永久中立國	整治電網，分割成更多區域。解除電力國營，開放電力市場自由競爭。	要。阿祖。開車去墓園上香。	支持。婚姻是基本人權。	2劑。	最近一周沒有關注。	沒收到。			沒有	沒有合理證據支持的論點，都不太有相信的價值。	父債子償不太合理，但我覺得以不正義的家族資源從政更不太合理。若是白手起家或許還能接受。	不太明白算這個的意義。
P10	1	5	(4) 台電電網太脆弱，政策錯誤。核電，燃料棒等核廢料無處儲存之問題可透過戰爭時發射以解決	1.烏俄之戰	俄羅斯，扶植魁儡政權，取得NATO承諾不再擴張	改變政策方向，逐步調漲電價，降低用電量，提升台電員工工作環境、設備	不會	支持	3劑, AZ M M	葵花油等物資缺貨	有，台語聽不懂就掛掉，認識的話就聽一下	調查資訊的來源與變化，並搜尋相關訊息	支持，可以平衡各年齡層的意見，且早點接觸早點學習，也不覺得多幾歲會更有資格	沒有	不認同，但是第三劑可能不用打	支持，因為他是後代，但是也要審慎檢視他的資源是否取得不正當	同意超額死亡，因為比率差夠明顯。黑數較不認同，因為症狀好像沒有輕到不會通報或發現的程度
P11	3.沒意見，雖然我覺得納粹是不好的，但是只要不做不好的事就沒關西。	5.非常反對，戰爭是不好的。	3.跳電，政府說什麼就什麼(應該吧)。	A: 烏俄戰爭，希望戰爭可以快快結束。	烏國，因為我覺得只要發動戰爭的那一方到最後一定會輸，因為世界上大部分的國家都不希望有戰爭的發生，只要各國持續經濟制裁，俄國就會支撐不住的。我覺得不管贏家是誰，他就只會獲得贏得這場戰爭的頭銜，就沒別了。而這場戰爭所造成的影響雙方都要花很久的時間才能夠恢復回來。	我覺得要多制定一些鼓勵節約能源的政策，讓大家一起接約用電，不要只想著多蓋一些電廠之類的，不管蓋哪種電廠，都是有很多不同的負面影響和風險。	需要，掃祖先的墓，我們家都是請別人先把我們的墓打掃好，我們在過去拜拜。	支持，我覺得我們不應該歧視任何人，每個人都有愛的權利。	三劑，AZ->AZ->莫德納	前幾天看到一個影片，一座大樓被飛彈轟炸而倒塌，令人怵目驚心。	有接過，如果是錄音的我會直接掛斷。	沒有經過查證的事情就跟別人說。 看到一則消息時，要自己去查證，不要馬上相信。	不支持。	沒有	不認同	沒意見，蔣家後代想不想從政是他的自由	不認同，我覺得超額死亡率和因為COVID-19而死亡是兩件不同的事。
P12	3.沒意見	5.非常反對	2.缺電	6.其他:中一中音樂老師爆走事件	我認為現階段烏克蘭較有機會贏得戰爭，而贏了則可向過繼世界證明並非大國就可以對其他國家為所欲為而不會踢鐵板。	蓋核五。	需要，會整個家族帶到公共的靈骨塔，大家先從最高樓層開始，拜共同的祖宗，在依序往下分頭找自己比家族的親人。	一半支持，我認為通婚法案可以往非專法的方向前進，以落實真正的婚姻平權。	兩劑 , AZ AZ	由於期中考週，最近較少關注。	無。	我認為最便利的方式自然是回到網路上搜尋，並多加查詢訊息來源及可信度。	支持。	否。	不認同，我認為定期接種疫苗可以保護自己且保護身邊的人。	我認為投身政治的條件與否在於他的個人能力，而非他的血統或是源自哪個政治背景。	我不認同，我認為這樣有些有一說一。利用過去台灣確診數所推出的死亡率與現在台灣疫情下的死亡率是不合理的，應該多提出更多論點來帶動群眾獨立思考，而不是一昧帶風向來操控聲量。
P13	1	5	2	4.HBL	烏克蘭，因為他們的人民比較團結，而且也有各國的幫助	台灣電力儲存的設備嚴重不足，所以導致很容易缺電或斷電，所以我認為應該提升硬體設備			兩劑摩德納，還沒預約第三劑	沒有特別印象深刻的地方	直接掛掉	因為很多人愛講幹話，也有笨蛋會相信，當個有腦袋的人就不會相信一些鬼話	不支持，因為我覺得很多人並不了解所有的情況	沒有囤貨			
P14	3. 沒意見	5. 非常反對	2. 缺電	4.HBL	兩敗俱傷，最好的結果就是不要牽動世界大戰	支持蓋核電廠，但不要重啟核四	需要，在彰化的公墓，只需上香即可	我支持同性婚姻，但認為政策有許多需要改進的地方	三劑，前兩劑Az，第三劑莫德納	沒有特別印象深刻的，很少在關注	沒接到	A:現今資訊流通快速，最大的謠言來自媒體，為吸引流量許多媒體會利用聳動標題吸引流量，然而，人云亦云、以訛傳訛，即會造成謠言的產生，應具備媒體識讀的能力，清楚了解新聞的事件本身並查證，仍有良心媒體及有效的邏輯思考能讓你辨別謠言與否。	不	無，只買了夠用的份量	不認同，現階段的研究顯示疫苗多打的病毒是有一定的對抗性，變種前的病毒現今已慢慢被控制，新型變種病毒擴散快但病症相較比較平緩，因此疫苗還是有其功效存在。	我認為人不能決定自己的出生背景，貧苦不能決定背痛不能決定；富貴也不能決定，優渥也不能決定，竟然如此他是不是蔣家後代就不重要了，那就是從更客觀的角度切入，他的經歷背景事蹟⋯等等。	認同！
P15	2 因為納粹的主意，會侵害其他族群，但是烏克蘭是否真的存在納粹化，是學生目前還無法確定的。	4 因為最終受害的都是無辜的人民，無論勝敗最終這些後果都是由雙方的人民來買單，至於選4不選5的原因為，如果是以非戰爭的形式，學生認為，成功與否就是由雙方的人民或是策略所決定的，而不是用人民的性命來換得。	2 因為目前還沒到夏季，還不是用電的高峰期，但最近卻有不少跳電或停電的事發生，學生認為可以使用其他的發電方式來補足台灣的供電需求。	1 烏俄之戰: 因為看到了最近新聞報導指出俄羅斯竟有7成人民支持出兵攻打烏克蘭，並認為是烏克蘭挑起戰爭的，因此擔心如果其戰勝了，會不會有其他國家複製這種方法洗腦人民支持戰爭。	學生認為俄國會贏得戰爭，如過俄國真的打下了烏克蘭，那他將有可能獲得烏克蘭的鋰礦資源，該礦物是製作電動車電池的重要原料之一。	學生認為可以利用增加發電廠數量，請專家評估是否能加蓋一座核能發電廠，因為以目前來看，學生認為火力發電汙染程度較高，風力發電及太陽能發電成本較高，經濟效益較高的可能是核電，但因其有一定的風險存在，可能需要一些警慎的評估。	不太會去 因為從小就很少去掃墓 所以家裡就沒有特別會去掃	支持，但如果對象的國家不認同的話，可能希望能有些配套且盡可能的不要去干預到他國的政策，以免不必要的誤會發生。	3劑 AZ跟莫德納	侵烏Day32 俄軍轉攻為守戰事恐長期化 原因 這篇是最近在做作業時看到比較有興趣的一篇，學生以為俄國不會轉為被動方，但最後因為氣候資源等影響，使其變得較為保守	目前沒有收到，如果有收到是錄音的會直接掛掉，是真人的話，會聽完跟他說加油。	以類似於現實的話術去扭曲事實，多看幾篇報導與查資料查證	不太支持，認為18歲可能相關議題的資訊收集不夠容易被誤導	買不到~~ 如果可以希望能買到兩支左右	不認同 畢竟目前來看疫苗有他的效益在 如果不打疫苗可能疫情會更加嚴重 且從數據來看 疫苗有他的保護力在	同意  有聽過蔣經國先生說過後代不從政 但我覺得台灣是民主的國家 加上是否真的有說過 學生我也不清楚 因此如果要從政 我覺得沒有太大的影響	死亡率的算法支持，但是每個人都應該要確診這句話，有點不太支持，畢竟家裡有人是只能打一劑的，因此會比較擔心狀況。
P16	3.沒意見	5.非常反對	2.缺電	1.烏俄大戰 4.HBL	俄國 得到賠款 割讓土地	硬體 別把錯都推給小動物	不需要	支持，但是不要裝扮得很奇怪	三劑 第一劑跟第二劑是AZ 第三劑是莫德納	烏克蘭老奶奶用石頭丟爆俄羅斯的無人機	沒接到 但是接到認識的候選人也滿少的 除非是市長什麼的	謠言由累積而組成	不贊同 高中是個讀書的佔比很重的階段 暫時不會有什麼時間去關心政治	沒囤	我不同意 醫學觀點打疫苗的確南澳減少中重症	我覺得要看是誰 蔣家後代可能也不想被貼標籤 但是黨產什麼的 跟連家一樣 大家都知道錢怎來的	不全然認同
